Isolate,Amikacin,Cefepime,Ceftazidime,Ciprofloxacin,Gentamicin,Meropenem,KBPipTaz,Tobramycin
01SP09,2,2,4,0.25,1,16,21,1
01SP10,2,2,4,0.25,1,16,21,1
01SP10,2,16,32,0.25,1,16,14,1
09SP1,2,1,2,0.25,1,0.25,21,1
09SP4,2,1,2,0.25,1,0.25,21,1
09SP4,2,16,64,0.25,1,16,14,1
14SP1,2,4,2,0.25,1,0.25,21,1
14SP1,2,1,1,0.25,1,0.25,21,1
14SP1,2,2,4,0.25,1,1,21,1
14SP2,2,1,2,0.25,1,0.25,21,1
19SP2,2,1,1,1,1,0.25,21,1
19SP3,16,16,4,4,8,1,17.5,1
46SP1,2,2,2,0.25,1,0.5,21,1
46SP3,1,2,4,0.25,4,1,21,1
46SP3,1,2,4,0.25,1,1,21,1
46SP3,2,2,2,0.25,1,0.25,21,1
42SP1,2,16,64,0.25,1,0.5,14,1
42SP1,2,8,64,0.25,1,1,14,1
10SP1,2,16,64,0.25,1,0.25,14,1
10SP1,2,16,64,0.25,1,0.25,14,1
10SP4,2,2,4,0.25,1,0.25,21,1
10SP4,2,4,16,0.25,1,0.25,17.5,1
10SP4,2,16,64,0.25,1,0.25,14,1
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
