Isolate,Amikacin,Ampicillin,Amp/Sul,Cefepime,Cefoxitin,Ceftazidime,Ceftriaxone,Ciprofloxacin,Gentamicin,Levofloxacin,Meropenem,Nitrofurantoin,Pip/Taz,Trim/Sul,Tobramycin,ESBL,Cefazolin,KB Cefepime,KBPipTaz
42ST1-1,<=2,>=32,>=32,32,>=64,>=64,nan,<=0.25,<=1,0.5,0.5,>=512,nan,80,<=1,nan,>=64,18,13
42ST1-2,<=2,>=32,>=32,4,>=64,16,nan,<=0.25,<=1,0.5,<=0.25,>=512,nan,80,<=1,nan,>=64,25,23
42ST1-3,<=2,>=32,>=32,16,>=64,>=64,nan,<=0.25,<=1,0.5,1,>=512,nan,80,<=1,nan,>=64,20,12
42ST1-4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
42ST1-5,<=2,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,0.5,1,>=512,nan,80,<=1,nan,>=64,25,23
42ST1-6,<=2,>=32,>=32,>=64,>=64,>=64,nan,<=0.25,<=1,1,1,>=512,nan,80,<=1,nan,>=64,16,11
42ST1-7,<=2,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,0.25,<=0.25,>=512,nan,80,<=1,nan,>=64,25,20
42ST1-8,<=2,>=32,>=32,8,>=64,>=64,nan,<=0.25,<=1,0.5,1,>=512,nan,80,<=1,nan,>=64,19,12
42ST1-9,<=2,>=32,>=32,16,>=64,>=64,nan,<=0.25,<=1,0.5,2,>=512,nan,80,<=1,nan,>=64,19,13
42ST1-10,<=2,>=32,>=32,8,>=64,>=64,nan,<=0.25,<=1,0.25,<=0.25,>=512,nan,80,<=1,nan,>=64,17,11
42ST1-11,<=2,>=32,>=32,32,>=64,>=64,nan,<=0.25,<=1,0.5,1,>=512,nan,80,<=1,nan,>=64,16,14
42ST1-12,<=2,>=32,>=32,32,>=64,>=64,nan,<=0.25,<=1,0.5,1,>=512,nan,>=320,<=1,nan,>=64,18,14
42ST1-13,<=2,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,0.5,1,>=512,nan,80,<=1,nan,>=64,18,23
42ST1-14,<=2,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,0.5,1,>=512,nan,80,<=1,nan,>=64,26,23
42ST1-15,<=2,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,0.5,0.5,>=512,nan,80,<=1,nan,>=64,26,25
42ST1-16,<=2,>=32,>=32,<=1,>=64,4,nan,<=0.25,<=1,0.5,0.5,>=512,nan,80,<=1,nan,>=64,26,23
42ST1-17,<=2,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,0.5,0.5,>=512,nan,160,<=1,nan,>=64,25,24
42ST1-18,<=2,>=32,>=32,2,>=64,4,nan,<=0.25,<=1,0.5,0.5,>=512,nan,80,<=1,nan,>=64,25,23
42ST1-19,<=2,>=32,>=32,>=64,>=64,>=64,nan,<=0.25,<=1,0.5,1,>=512,nan,80,<=1,nan,>=64,15,11
42ST1-20,<=2,>=32,>=32,>=64,>=64,>=64,nan,<=0.25,<=1,0.5,1,>=512,nan,80,<=1,nan,>=64,17,12
42ST1-21,<=2,>=32,>=32,8,>=64,>=64,nan,<=0.25,<=1,0.5,1,>=512,nan,80,<=1,nan,>=64,17,12
42ST1-22,<=2,>=32,>=32,>=64,>=64,>=64,nan,<=0.25,<=1,0.25,1,>=512,nan,80,<=1,nan,>=64,13,8
42ST1-23,<=2,>=32,>=32,2,>=64,16,nan,<=0.25,<=1,0.25,1,>=512,nan,80,<=1,nan,>=64,21,20
42ST1-24,<=2,>=32,>=32,8,>=64,>=64,nan,<=0.25,<=1,0.5,1,>=512,nan,80,<=1,nan,>=64,18,12
